# Time-averaged data for fix printp
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
314 -709.888 1689.69 -633.173 53351.5 51269 49798.7
316 -820.152 1384.49 -881.358 53872.1 52758.3 49943.9
318 -786.249 1122.33 -987.082 53327.4 53261.3 49750.9
320 -825.829 1046.25 -983.373 52291.3 52925.2 49301.9
322 -1082.79 993.301 -947.942 51372.4 52403.6 48946.7
324 -1371.51 955.785 -944.192 50857.9 52147.8 49007.1
326 -1582.9 1015.13 -1106.23 50687.3 51750.7 49268
328 -1715.3 1328.4 -1333.34 50701.5 51379.3 49619.7
330 -1796.79 1581.49 -1331.1 50779.2 51360.2 50304.8
332 -1802.95 1785.59 -1282.9 50761.1 51229.9 50762.3
334 -1670.45 1977.49 -1347.31 50728.5 50812.6 50788.8
336 -1456.19 2145.17 -1177.3 50701.2 50563.7 50876.3
338 -1255.68 2257.97 -824.214 50850.3 50429.3 51192.5
340 -1102.68 2343.23 -379.028 51151.8 50340.4 51749.9
342 -873.009 2342.88 152.451 51457.5 50178.8 52272.4
344 -569.935 2119.45 844.377 51524 49577 52386.2
346 -285.342 1591.96 1664.36 51336.2 48595.8 51921.3
348 -69.1742 954.812 2247.13 50982.8 47584.8 51557.5
350 0.727287 500.353 2586.24 50462.9 46842.6 51575
352 -54.6092 34.8062 2640 49776.7 45989.8 51517.9
354 -170.595 -538.053 2204.82 49051 45050.7 51047.5
356 -276.513 -993.538 1578.84 48651.8 44449.1 50715.5
358 -355.899 -1247.04 864.919 48546.1 44271.6 50667.3
360 -423.42 -1353.56 152.744 48561 44209.8 50551.8
362 -547.249 -1355.11 -497.009 48462.7 44132 50025
364 -736.591 -1267.49 -1002.89 48309.2 44302.8 49365.6
366 -871.391 -1048.85 -1349.13 48434.7 45144.4 49027.1
368 -793.959 -888.134 -1592.78 49075.7 46599.3 49043.8
370 -672.999 -714.696 -1488.59 49934.2 48585.8 49303.1
372 -586.38 -386.327 -1098.35 50833.6 50599.9 49667.5
374 -538.721 59.7134 -474.72 51633.7 52344.2 50283
376 -524.142 470.04 164.239 52257 53693.1 50855.8
378 -521.541 478.798 653.803 52584.1 54869.2 51323.6
380 -485.515 292.483 918.791 52744.8 55914.6 51762.1
382 -541.197 80.4989 1231.93 52732.8 56418 52107.7
384 -743.213 -0.74445 1519.11 52577 56439.2 52150.2
386 -970.978 50.6059 1711.48 52592 56170.9 52238.5
388 -988.909 63.1226 1555.94 52838.6 55696.6 52299.9
390 -765.986 -25.925 1193.35 52740.1 54879.8 52094.6
392 -401.368 -109.004 915.216 52490.4 53857.2 51757.7
394 111.149 -98.0194 827.944 52676.3 52783.6 51545.1
396 615.959 -159.565 667.414 52823.5 51588.3 50932.7
398 926.042 -323.848 434.829 52486.6 50202.9 49574.9
400 1203.11 -477.906 127.544 51807.4 48535.6 47827.2
402 1526.86 -671.747 -72.2568 51436 47495.4 46296.1
404 1859.9 -883.279 -47.206 51579.2 47483.3 45423.9
406 2170.94 -1110.91 251.867 51684.3 47941 45115.2
408 2432.43 -1361.37 703.86 51659 48776.9 45191.4
410 2495.52 -1553.27 1261.06 51538.5 49976.6 45910.2
412 2366.12 -1790.58 1788.13 51229.8 51342 47106.3
414 2010.3 -2183.46 2349.09 50740.8 52520.4 48593.3
416 1394.84 -2608.52 2851.82 50145.1 53259.2 50349.4
418 549.276 -2950.49 3317.59 49573.6 53647.3 52164.4
420 -462.194 -3108.07 3721.17 49178.7 53737 53871
422 -1470.32 -3032.53 3915.45 48940.3 53831.6 55266.6
424 -2412.82 -2898.33 3952.71 49038.6 53994.5 56565
426 -3209.21 -2772.59 3799.4 49287.1 54185.1 57631.3
428 -3696.69 -2613.86 3458.63 49323.5 54092.1 58047.1
430 -3784.72 -2201.65 3020.1 49206.2 53631.6 57323.6
432 -3538.59 -1697.1 2489.29 48775.6 52807.4 55692.9
434 -3094.04 -1154.68 2049.94 48224 51721.7 53700.2
436 -2530.99 -595.547 1675.59 47747.5 50454.9 51480
438 -1816.16 20.6016 1284.92 47305.6 49090 49054.8
440 -943.758 699.75 949.902 46815 47864 46713.9
442 46.3755 1422.97 917.242 46249 47073.6 44718.4
444 948.193 1851.69 966.46 45785.3 46712 43040.6
446 1768.01 2150.2 1183.86 45695.3 46871.4 42053.1
448 2543.22 2386.71 1664.25 45752.8 47363.5 42092.7
450 2990.67 2242.3 2226.91 45791.6 47716.1 42768.8
452 3120.69 1702.35 2683.3 45721.4 47939 43679.5
454 3219 1013.36 2970.36 45802.4 48045.6 44773.4
456 3300.9 179.952 3192.73 46076.4 48126.7 46203.6
458 3227.25 -580.921 3363.88 46520.8 48317.1 47956.5
460 2926.26 -1111.4 3590.18 47047 48907 50028.4
462 2435.71 -1573.26 3680.14 47724.2 49747.6 52015.5
464 1767.51 -1947.57 3556.97 48652 50722.3 53610
466 1038.08 -2148.9 3404.97 49933.2 51809.1 55007.1
468 356.091 -2183.55 3416.46 51217.4 52934.7 56112.6
470 -130.285 -1911.78 3451.23 51878.5 53773.3 56531.4
472 -494.116 -1253.34 3427.8 52167.6 54336.7 56211.9
474 -889.874 -574.015 3317.26 52081.6 54715 55091.4
476 -1271.54 -13.3547 3119.44 51414.8 54847.6 53394
478 -1423.07 566.472 2737.19 50228.8 54333 51527.6
480 -1418.12 1095.46 2258.77 48595.2 53301.6 49633.7
482 -1601.75 1452.31 1744.85 46850.6 52121.3 47814
484 -1826.19 1531.42 1189.31 45384.8 51145.2 46454.3
486 -1951.67 1315.6 698.996 44405.5 50194.8 45701.3
488 -1836.47 1050.22 279.923 43961 49287.6 45448.3
490 -1629.61 729.265 -6.04504 44004.7 48417.9 45730.2
492 -1447.5 308.542 -210.954 44790.5 47744.2 46417.4
494 -1185.03 -241.326 -181.254 46128.9 47563.7 47513.4
496 -825.809 -832.748 -62.5957 48024.6 48215.3 49171.7
498 -431.676 -1330.07 9.97329 50264.3 49412.6 50873.2
500 84.5448 -1668.84 249.751 52526.8 50729.5 52382.9
502 626.515 -1918.57 252.881 54564 51591.7 53770.8
504 945.115 -2138.19 172.089 56067.4 51965.1 54839.8
506 1161.34 -2147.93 272.717 57139.4 52171.6 55427.1
508 1278.8 -1828.37 433.914 57879.5 52359.6 55670.1
510 1253.39 -1255.89 670.917 58521.8 52603.2 55728.3
512 1159.26 -566.152 1056.1 58850.6 52966.4 55496.9
514 1041.94 3.20891 1527.86 58609.3 53204.4 54985.3
516 952.136 483.316 2059.42 57604 53207.9 54273.8
