Box size: max: 28.688099 min: 3.311927 in Ang
Timestep: 0.5
T: 673
Chunk 1 of size 2ps
Start time: 2.0ps
Lag    Lag (in ps)     Auto-correlation     Integral(acf)        Viscosity(in Pa s)
162      0.081          189036.9261485325    216506958.37997738    0.0007818341207158126
164      0.082          149038.75657873807    216675996.221341    0.0007824445378269259
166      0.083          66089.27796198963    216783560.23861137    0.0007828329651527378
168      0.084          -36778.33370108877    216798215.71074182    0.000782885887923685
170      0.085          -133400.98286907695    216713126.05245674    0.0007825786183621655
172      0.086          -198000.83763407895    216547425.14220515    0.0007819802513330514
174      0.087          -208738.20901204078    216344055.6188821    0.0007812458581586361
176      0.088          -151171.02967000357    216164100.9995411    0.0007805960191759356
178      0.089          -21323.492347193813    216077853.7385325    0.0007802845693639788
180      0.09          173445.37659439025    216153914.6806561    0.0007805592350848913
182      0.091          415178.5450802987    216448226.64149344    0.0007816220329498613
184      0.092          677267.3375201555    216994449.58279365    0.0007835945133552105
186      0.093          927677.4782267503    217796921.9906671    0.0007864923431252234
188      0.094          1133094.821410685    218827308.14048582    0.0007902131983599426
190      0.095          1263373.3723847005    220025542.2373835    0.0007945401738464098
192      0.096          1295819.3582990181    221305138.6027254    0.0007991609588163431
194      0.097          1218509.703613827    222562303.1336818    0.0008037007395837141
196      0.098          1032691.5308685476    223687903.75092298    0.0008077654263514874
198      0.099          753196.801640315    224580847.9171774    0.0008109899611299337
200      0.1          406676.8791453192    225160784.75757024    0.0008130841867062011
202      0.101          29030.947349202288    225378638.6708175    0.0008138708848519913
204      0.102          -338002.90314626147    225224152.69291896    0.0008133130163677772
206      0.103          -651843.5372135342    224729229.47273907    0.0008115257857698947
208      0.104          -874863.3263249969    223965876.04096985    0.0008087692195902745
210      0.105          -978185.6802901609    223039351.53766227    0.0008054234219503953
212      0.106          -945084.8665902804    222077716.26422206    0.000801950834860885
214      0.107          -774877.1411840204    221217735.2603349    0.0007988453342477067
216      0.108          -482806.7429253254    220588893.31828025    0.0007965745061389275
218      0.109          -95476.25379647387    220299751.81991935    0.0007955303794705518
220      0.11          351601.76471730816    220427814.57537976    0.0007959928303430828
222      0.111          814660.5562102678    221010945.73584354    0.00079809859101477
224      0.112          1245795.0416557507    222041173.53477654    0.000801818874424332
226      0.113          1599829.3224069485    223463985.7168079    0.0008069568298951671
228      0.114          1838899.994278109    225183350.37515044    0.0008131656740168689
230      0.115          1936053.906080661    227070827.32532984    0.0008199815929728083
232      0.116          1879142.2384955438    228978425.39761794    0.0008268701718558437
234      0.117          1671818.73806389    230753905.88589767    0.0008332816573655428
236      0.118          1331851.0924303653    232255740.8011448    0.0008387049739610392
238      0.119          889016.3836042058    233366174.5391621    0.0008427148912019079
240      0.12          382700.18017059274    234002032.82104945    0.0008450110562048212
242      0.121          -141318.39010871536    234122723.7160804    0.0008454468863531957
244      0.122          -634749.231731732    233734689.90516016    0.0008440456469859307
246      0.123          -1051488.194963168    232891571.1918127    0.000841001038245217
248      0.124          -1351761.3054195996    231689946.4416213    0.0008366618186791305
250      0.125          -1505674.3437429979    230261228.61704    0.000831502537183096
252      0.126          -1496975.3995920776    228759903.74537247    0.0008260810624197356
254      0.127          -1325411.8037335132    227348710.1437097    0.0008209850631180438
256      0.128          -1007217.6999313546    226182395.39187723    0.0008167733524400134
258      0.129          -573160.9145967328    225392206.0846132    0.0008139198785061201
260      0.13          -64218.310870656285    225073516.4718795    0.0008127690498444583
262      0.131          472615.09310698684    225277714.86299768    0.0008135064361657388
264      0.132          988357.8420642045    226008201.33058327    0.0008161443155639485
266      0.133          1435535.9422231505    227220148.22272697    0.0008205208096954233
268      0.134          1772106.060276306    228823969.22397667    0.0008263124109985876
270      0.135          1966715.2166655064    230693379.8624476    0.0008330630902087245
272      0.136          2002963.0731564602    232678219.00735858    0.000840230596413769
274      0.137          1879586.454016709    234619493.77094516    0.0008472407861056532
276      0.138          1609391.6692649254    236363982.832586    0.0008535403576381884
278      0.139          1218858.7079032117    237778108.02117005    0.0008586469432725326
280      0.14          746259.3244076268    238760667.03732547    0.0008621950886540729
